revision,name,niveau,date,youtube,pdf
1,Knokin boots,1,22/05/2019,https://www.youtube.com/watch?v=t-HiUyHZpEA,knockin_boots.pdf
1,Like a fine wine,1,22/05/2019,,
1,Always remember,1,22/05/2019,,
1,Seven,1,22/05/2019,,
1,Noise,1,22/05/2019,,
1,I'll be there,1,22/05/2019,,
1,Nothing but you,1,22/05/2019,,
0,Like a fine wine,1,15/05/2019,https://www.youtube.com/watch?v=KwS9FAT0O7s,like_a_fine_wine.pdf
1,Always remember,1,15/05/2019,,
1,Must be the wiskey,1,15/05/2019,,
1,Noise,1,15/05/2019,,
1,I'll be there,1,15/05/2019,,
1,Nothing but you,1,15/05/2019,,
0,Always remember,1,10/05/2019,https://www.youtube.com/results?search_query=always+remember+line+dance+david+linger,Always_Remember.pdf
1,eyes on you,1,10/05/2019,,
1,Celtic Duo,1,10/05/2019,,
1,I'll be there,1,10/05/2019,,
1,Nothing but you,1,10/05/2019,,
1,eyes on you,1,10/04/2019,,
1,Must be the wiskey,1,10/04/2019,,
1,Noise,1,10/04/2019,,
1,Roots,1,10/04/2019,,
1,Don't let her be gone,1,10/04/2019,,
1,I be u be,1,10/04/2019,,
0,Nothing but you,1,03/04/2019,https://www.youtube.com/watch?v=aFdKyX4Kx_s&t=18s,nothing_but_you.pdf
1,I'll be there,1,03/04/2019,,
1,The arena,1,03/04/2019,,
1,Eyes on you,1,03/04/2019,,
0,Noise,1,27/03/2019,https://www.youtube.com/watch?v=ygokYo3Ah44,noise.pdf
1,I'll be there,1,27/03/2019,,
1,Bud light Blue,1,27/03/2019,,
1,wide open,1,27/03/2019,,
1,Soldier,1,27/03/2019,,
1,Chasing down a good time,1,27/03/2019,,
0,I'll be there,1,20/03/2019,https://www.youtube.com/watch?v=bkq8pTiXplA&t=12s,i_ll_bet_here.pdf
1,Bud light Blue,1,20/03/2019,,
1,Let's go there,1,20/03/2019,,
1,Old and grey,1,20/03/2019,,
1,Damn,1,20/03/2019,,
1,eyes on you,1,20/03/2019,,
1,Bud light Blue,1,13/03/2019,,
1,I got this too,1,13/03/2019,,
1,I be u be,1,13/03/2019,,
1,Old and grey,1,13/03/2019,,
1,Wild horse,1,13/03/2019,,
0,Bud light Blue,1,06/03/2019,https://www.youtube.com/watch?v=ZSVG9Dh1xPQ&t=238s,bud_light_blue.pdf
1,Old and grey,1,06/03/2019,,
1,The arena,1,06/03/2019,,
1,Just a burning man,1,06/03/2019,,
0,Old and grey,1,27/02/2019,https://www.youtube.com/watch?v=pbtf7rYyN_Q,old_and_grey.pdf
1,Damn,1,27/02/2019,,
1,Champagne promise,1,27/02/2019,,
1,wide open,1,27/02/2019,,
1,Locash,1,27/02/2019,,
1,Story,1,27/02/2019,,
0,The arena,1,03/02/2019,https://www.youtube.com/watch?v=awhhNvCBSXg,the_arena.pdf
1,That's up,1,03/02/2019,,
1,Let's go there,1,03/02/2019,,
1,wide open,1,03/02/2019,,
0,wide open,1,29/01/2019,https://www.youtube.com/watch?v=OdNGTyzdMB0,wide_open.pdf
1,Seven,1,29/01/2019,,
1,Lay low,1,29/01/2019,,
1,Eyes on you,1,29/01/2019,,
1,Woman amen,1,29/01/2019,,
1,Open your eyes,1,29/01/2019,,
0,Smooth like the summer,1,23/01/2019,https://www.youtube.com/watch?v=nkpurAUEeGM,smooth_like_the_summer.pdf
1,Damn,1,23/01/2019,,
1,Story,1,23/01/2019,,
1,Day of the dead,1,23/01/2019,,
1,Seven,1,23/01/2019,,
0,Seven,1,16/01/2019,https://www.youtube.com/watch?v=e5xFZzT_xO0&t=10s,seven.pdf
1,Wild horse,1,16/01/2019,,
1,Just a burning man,1,16/01/2019,,
1,Celtic Duo,1,16/01/2019,,
0,Just a burning man,1,16/01/2019,https://www.youtube.com/watch?v=vZPHzqQt8qw,just_a_burning_man.pdf
0,Wild horse,1,09/01/2019,https://www.youtube.com/watch?v=kgZVQbZu-nI,wilde_horse.pdf
1,Locash,1,09/01/2019,,
1,Must be the wiskey,1,09/01/2019,,
1,Damn,1,09/01/2019,,
1,Let's go there,1,09/01/2019,,
1,Must be the wiskey,1,12/12/2018,,
1,Damn,1,12/12/2018,,
1,Let's go there,1,12/12/2018,,
1,8 th day,1,12/12/2018,,
1,Cards on the table,1,12/12/2018,,
1,woman amen,1,12/12/2018,,
1,Snap,1,04/04/2018,,
1,Ghost town,1,04/04/2018,,
1,Must be the wiskey,1,04/04/2018,,
1,Damn,1,04/04/2018,,
1,Locash,1,04/04/2018,,
1,Soldier,1,04/04/2018,,
1,Insecure,1,04/04/2018,,
0,Must be the wiskey,1,28/11/2018,https://www.youtube.com/watch?v=d_w6YLNsGWk,must_be_the_whiskey.pdf
1,Celtic Duo,1,28/11/2018,,
1,Damn,1,28/11/2018,,
1,Bush party,1,28/11/2018,,
1,Just a burning man,1,28/11/2018,,
0,Damn,1,21/11/2018,https://www.youtube.com/watch?v=9E2JR9k_SDU,Damn.pdf
1,Celtic Duo,1,21/11/2018,,
1,Locash,1,21/11/2018,,
1,Gypsy queen,1,21/11/2018,,
1,Bring down the house,1,21/11/2018,,
1,Clear Isabel,1,21/11/2018,,
0,Locash,1,14/11/2018,https://www.youtube.com/watch?v=a_rhN79oXcE&fbclid=IwAR2FFq1FFx4d-8CRjSJxUcK3nRC83jPU8TC_RQT-2QugCJj8MlDQE8UN-Ws,locash.pdf
1,Sweet hurt,1,14/11/2018,,
1,Champagne promise,1,14/11/2018,,
1,8 th day,1,14/11/2018,,
1,Dancing around it,1,14/11/2018,,
1,Celtic Duo,1,14/11/2018,,
1,Cards on the table,1,14/11/2018,,
1,Day of the dead,1,14/11/2018,,
1,eyes on you,1,07/11/2018,,
1,I got this too,1,07/11/2018,,
1,I be u be,1,07/11/2018,,
1,Chasing down a good time,1,07/11/2018,,
1,Open your eyes,1,07/11/2018,,
1,Ouzo and black,1,07/11/2018,,
1,Circle of crows,1,07/11/2018,,
0,Circle of crows,1,31/10/2018,https://www.youtube.com/watch?v=GiS2QgibMU8,Circle_of_crows.pdf
1,Eyes on you,1,31/10/2018,,
1,Champagne promise,1,31/10/2018,,
1,Woman amen,1,31/10/2018,,
1,Lonely drum,1,31/10/2018,,
1,Let' go there,1,31/10/2018,,
0,Eyes on you,1,17/10/2018,https://www.youtube.com/watch?v=1XzYeXkmsos,eyes_on_you.pdf
1,Champagne promise,1,17/10/2018,,
1,Galway girls,1,17/10/2018,,
1,Drunk in heels,1,17/10/2018,,
0,Champagne promise,1,10/10/2018,https://www.youtube.com/watch?v=54i2I9RiGUk&t=174s,Champagne_promise.pdf
1,Celtic Duo,1,10/10/2018,,
1,8th day,1,10/10/2018,,
1,Cards on the table,1,10/10/2018,,
1,Story,1,10/10/2018,,
1,Let's go there,1,10/10/2018,,
0,Celtic Duo,1,03/10/2018,https://www.youtube.com/watch?v=CZyUUwqHrig&t=288s,celtic_duo.pdf
1,Day of the dead,1,03/10/2018,,
1,Ghost town,1,03/10/2018,,
1,Cards on the table,1,03/10/2018,,
1,Story,1,03/10/2018,,
1,Let's go there,1,03/10/2018,,
0,8th day,1,26/09/2018,https://www.youtube.com/watch?v=xGDTig4b_rY,8th_day.pdf
0,Ghost town,1,26/06/2018,https://www.youtube.com/watch?v=tdh7F0pQrrM&t=157s,ghost-town.pdf
0,Story,1,19/09/2018,https://www.youtube.com/watch?v=s2Ww88MqBK0,story.pdf
1,Indian sound,1,12/09/2018,,
1,I got a woman,1,12/09/2018,,
1,Soldier,1,12/09/2018,,
1,Roots,1,12/09/2018,,
1,Day of the dead,1,12/09/2018,,
,,,,,
0,Shadows,2,29/05/2019,https://www.youtube.com/watch?v=wN9KM1FewXU&t=2s%22,shadows.pdf
1,All day all night,2,29/05/2019,,
1,Long live the nights,2,29/05/2019,,
1,Born to love you,2,29/05/2019,,
0,All day all night,2,22/05/2019,https://www.youtube.com/watch?v=HQScLVnJUes,all_day_all_night.pdf
1,Long live the nights,2,22/05/2019,,
