revision,name,niveau,date,youtube,pdf,pdf_link
1,Dixie dance,0,31/10/2018,,,
1,Ghost town,0,31/10/2018,,,
2,Snap,0,17/10/2018,,,
1,Lindi Shuffle,0,17/10/2018,,,
1,Bill's Basic,0,17/10/2018,,,
1,Ghost town,0,17/10/2018,,,
0,Snap,0,10/10/2018,https://www.youtube.com/watch?v=WKBKLo4EiB0&feature=youtu.be,snap.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905399/dml-laille/seed_danse/snap.pdf
1,Lindi Shuffle,0,10/10/2018,,,
1,Bill's Basic,0,10/10/2018,,,
1,Ghost town,0,10/10/2018,,,
0,Bill's Basic,0,03/10/2018,https://www.youtube.com/watch?v=gkLBnBS2evU,bills_Bbasic.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905405/dml-laille/seed_danse/bills_Bbasic.pdf
0,Ghost town,0,03/10/2018,https://www.youtube.com/watch?v=tdh7F0pQrrM&t=157s,ghost-town.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905417/dml-laille/seed_danse/ghost-town.pdf
1,Lundi Shuffle,0,03/10/2018,,,
1,Anything goes,0,03/10/2018,,,
0,Lindi Shuffle,0,26/09/2018,https://www.youtube.com/watch?v=GoNpXAbqFIY,lindi_shuffle.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905428/dml-laille/seed_danse/lindi_shuffle.pdf
1,Anything goes,0,26/09/2018,,,
1,Simply shuflle,0,26/09/2018,,,
1,Dixie dance,0,26/09/2018,,,
0,Anything goes,0,19/09/2018,https://www.youtube.com/watch?v=nT8Da9l5Id8,anything_goes.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905402/dml-laille/seed_danse/anything_goes.pdf
0,Dixie dance,0,19/09/2018,https://www.youtube.com/watch?v=6mgp4HvI_ts,dixie_dance.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905416/dml-laille/seed_danse/dixie_dance.pdf
0,Simply shuflle,0,19/09/2018,https://www.youtube.com/watch?v=maO5deXsIU0&t=0s&index=5&list=LLUQ-huBGR1P0inGHmhohD6g,simply_shuffle.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905393/dml-laille/seed_danse/simply_shuffle.pdf
2,Nothing but you,1,19/06/2019,,,
1,Love me some you,1,19/06/2019,,,
1,Bring down the house,1,19/06/2019,,,
1,Eyes on you,1,19/06/2019,,,
1,Story,1,19/06/2019,,,
1,Celtic Duo,1,19/06/2019,,,
1,Day of the dead,1,19/06/2019,,,
0,Love me some you,1,12/06/2019,https://www.youtube.com/watch?v=yyxDx694KC4&t=364s,Love_me_some_you.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905431/dml-laille/seed_danse/Love_me_some_you.pdf
1,John Henry,1,12/06/2019,,,
1,321,1,12/06/2019,,,
1,Must be the whiskey,1,12/06/2019,,,
1,Eyes on you,1,12/06/2019,,,
0,John Henry,1,05/06/2019,https://www.youtube.com/watch?v=2RQTpGzaX8o,john_henry.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905420/dml-laille/seed_danse/john_henry.pdf
1,321,1,05/06/2019,,,
1,Knockin’ Boots,1,05/06/2019,,,
1,Nothing but you,1,05/06/2019,,,
1,Bud light Blue,1,05/06/2019,,,
0,321,1,29/05/2019,https://www.youtube.com/watch?v=fTAnBAkoYbQ&t=273s,321.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905402/dml-laille/seed_danse/321.pdf
2,Straight to hell O,1,22/05/2019,https://www.youtube.com/watch?v=c9G6k3HFxrs,Straight_to_hell_O.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905394/dml-laille/seed_danse/Straight_to_hell_O.pdf
1,Knockin’ Boots,1,22/05/2019,https://www.youtube.com/watch?v=t-HiUyHZpEA,knockin_boots.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905426/dml-laille/seed_danse/knockin_boots.pdf
1,Like a fine wine,1,22/05/2019,,,
1,Always remember,1,22/05/2019,,,
1,Seven,1,22/05/2019,,,
1,Noise,1,22/05/2019,,,
1,I'll be there,1,22/05/2019,,,
1,Nothing but you,1,22/05/2019,,,
0,Like a fine wine,1,15/05/2019,https://www.youtube.com/watch?v=KwS9FAT0O7s,like_a_fine_wine.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905431/dml-laille/seed_danse/like_a_fine_wine.pdf
1,Always remember,1,15/05/2019,,,
1,Must be the whiskey,1,15/05/2019,,,
1,Noise,1,15/05/2019,,,
1,I'll be there,1,15/05/2019,,,
1,Nothing but you,1,15/05/2019,,,
0,Always remember,1,10/05/2019,https://www.youtube.com/results?search_query=always+remember+line+dance+david+linger,Always_Remember.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905397/dml-laille/seed_danse/Always_Remember.pdf
1,Eyes on you,1,10/05/2019,,,
1,Celtic Duo,1,10/05/2019,,,
1,I'll be there,1,10/05/2019,,,
1,Nothing but you,1,10/05/2019,,,
2,Eyes on you,1,10/04/2019,,,
1,Must be the whiskey,1,10/04/2019,,,
1,Noise,1,10/04/2019,,,
1,Roots,1,10/04/2019,,,
1,Don't let her be gone,1,10/04/2019,,,
1,I be u be,1,10/04/2019,,,
0,Nothing but you,1,03/04/2019,https://www.youtube.com/watch?v=aFdKyX4Kx_s&t=18s,nothing_but_you.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905435/dml-laille/seed_danse/nothing_but_you.pdf
1,I'll be there,1,03/04/2019,,,
1,The arena,1,03/04/2019,,,
1,Eyes on you,1,03/04/2019,,,
0,Noise,1,27/03/2019,https://www.youtube.com/watch?v=ygokYo3Ah44,noise.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905433/dml-laille/seed_danse/noise.pdf
1,I'll be there,1,27/03/2019,,,
1,Bud light Blue,1,27/03/2019,,,
1,Wide open,1,27/03/2019,,,
1,Soldier,1,27/03/2019,,,
1,Chasing down a good time,1,27/03/2019,,,
0,I'll be there,1,20/03/2019,https://www.youtube.com/watch?v=bkq8pTiXplA&t=12s,i_ll_bet_here.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905428/dml-laille/seed_danse/i_ll_bet_here.pdf
1,Bud light Blue,1,20/03/2019,,,
1,Let's go there,1,20/03/2019,,,
1,Old and grey,1,20/03/2019,,,
1,Damn,1,20/03/2019,,,
1,Eyes on you,1,20/03/2019,,,
2,Bud light Blue,1,13/03/2019,,,
1,I got this too,1,13/03/2019,,,
1,I be u be,1,13/03/2019,,,
1,Old and grey,1,13/03/2019,,,
1,Wild horse,1,13/03/2019,,,
0,Bud light Blue,1,06/03/2019,https://www.youtube.com/watch?v=ZSVG9Dh1xPQ&t=238s,bud_light_blue.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905408/dml-laille/seed_danse/bud_light_blue.pdf
1,Old and grey,1,06/03/2019,,,
1,The arena,1,06/03/2019,,,
1,Just a burning man,1,06/03/2019,,,
0,Old and grey,1,27/02/2019,https://www.youtube.com/watch?v=pbtf7rYyN_Q,old_and_grey.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905435/dml-laille/seed_danse/old_and_grey.pdf
1,Damn,1,27/02/2019,,,
1,Champagne promise,1,27/02/2019,,,
1,Wide open,1,27/02/2019,,,
1,Locash,1,27/02/2019,,,
1,Story,1,27/02/2019,,,
0,The arena,1,03/02/2019,https://www.youtube.com/watch?v=awhhNvCBSXg,the_arena.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905398/dml-laille/seed_danse/the_arena.pdf
1,That's up,1,03/02/2019,,,
1,Let's go there,1,03/02/2019,,,
1,Wide open,1,03/02/2019,,,
0,Wide open,1,29/01/2019,https://www.youtube.com/watch?v=OdNGTyzdMB0,wide_open.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905404/dml-laille/seed_danse/wide_open.pdf
1,Seven,1,29/01/2019,,,
1,Lay low,1,29/01/2019,,,
1,Eyes on you,1,29/01/2019,,,
1,Woman amen,1,29/01/2019,,,
1,Open your eyes,1,29/01/2019,,,
0,Smooth like the summer,1,23/01/2019,https://www.youtube.com/watch?v=nkpurAUEeGM,smooth_like_the_summer.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905394/dml-laille/seed_danse/smooth_like_the_summer.pdf
1,Damn,1,23/01/2019,,,
1,Story,1,23/01/2019,,,
1,Day of the dead,1,23/01/2019,,,
1,Seven,1,23/01/2019,,,
0,Seven,1,16/01/2019,https://www.youtube.com/watch?v=e5xFZzT_xO0&t=10s,seven.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905396/dml-laille/seed_danse/seven.pdf
1,Wild horse,1,16/01/2019,,,
1,Just a burning man,1,16/01/2019,,,
