revision,name,niveau,date,youtube,pdf,pdf_link
0,See ya Cecilia,2,17/10/2018,https://www.youtube.com/watch?v=BDfcoRFVlcg,See_ya_Cecilia.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905441/dml-laille/seed_danse/See_ya_Cecilia.pdf
0,Think your present,2,10/10/2018,https://www.youtube.com/watch?v=uv2qOZuGt74,Think_your_present.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905400/dml-laille/seed_danse/Think_your_present.pdf
2,All the king horses,2,10/10/2018,,,
1,Master of tides,2,10/10/2018,,,
0,All the king horses,2,03/10/2018,https://www.youtube.com/watch?v=aD4DYB3mkOk,all_the_kings_horse.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905402/dml-laille/seed_danse/all_the_kings_horse.pdf
1,Master of tides,2,03/10/2018,,,
0,Master of tides,2,26/09/2018,ttps://www.youtube.com/watch?v=0lSlgnhJrZc,master_of_tides.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905435/dml-laille/seed_danse/master_of_tides.pdf
0,Cards on the table,2,19/09/2018,https://www.youtube.com/watch?v=KGiepHlsOuc,cards_on_the_the_table.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905409/dml-laille/seed_danse/cards_on_the_the_table.pdf
2,Woman amen,2,19/09/2018,,,
1,Another crazy year,2,19/09/2018,,,
0,Let's go there,2,12/09/2018,https://www.youtube.com/watch?v=mVKG2n4FCRU,Lets_go_there.pdf,https://res.cloudinary.com/dkxcax6es/image/upload/v1564905425/dml-laille/seed_danse/Lets_go_there.pdf
2,I got this too,2,12/09/2018,,,
1,Open your eyes,2,12/09/2018,,,
1,Female,2,12/09/2018,,,
1,Home we'll go,2,12/09/2018,,,
